id,date,client_id,card_id,amount,use_chip,merchant_id,merchant_city,merchant_state,zip,mcc,errors,card_id_ref,card_brand,card_type,card_number,expires,cvv,has_chip,num_cards_issued,credit_limit,acct_open_date,year_pin_last_changed,card_on_dark_web,user_id_ref,current_age,retirement_age,birth_year,birth_month,gender,address,latitude,longitude,per_capita_income,yearly_income,total_debt,credit_score,num_credit_cards,txn_hour,txn_day,account_age_years,account_age_days,debt_to_income_ratio,high_amount_flag,error_flag,merchant_mcc_risk,unusual_location_flag,high_risk_jurisdiction,amount_abs,small_tx_flag,txn_datetime,small_tx_24h_count,structuring_flag,rapid_funds_movement,account_type_mismatch,repeated_counterparty_count,repeated_counterparty_flag,high_risk_channel,user_mean_amount,unusual_high_volume,beneficiary_sanctioned,previous_tx_count,dormant_sudden_activity,rules_triggered,flagged
7475336,2010-01-01 00:21:00,335,5131,261.58,Online Transaction,50292,ONLINE,,,7801,,5131,Visa,Debit,4414800408438414,06/2020,833,YES,1,23401,10/2008,2011,No,335,46,68,1973,7,Female,75 Birch Lane,26.74,-80.12,27696,56467,66565,688,3,0,4,17,5936,1.1788301131634407,True,False,False,True,False,261.58,True,2010-01-01 00:21:00,0,False,False,False,0,False,False,261.58,False,False,0,True,"['R9_DORMANT_SUDDEN_ACTIVITY', 'HIGH_AMOUNT', 'HIGH_DTI', 'CARD_COMPROMISED']",True
7475337,2010-01-01 00:21:00,351,1112,10.74,Swipe Transaction,3864,Flushing,NY,11355.0,5813,,1112,Mastercard,Debit (Prepaid),5348108239138924,11/2023,893,YES,2,54,02/2007,2010,No,351,91,70,1928,9,Female,984 Little Creek Lane,40.77,-73.84,13810,17150,375,807,6,0,4,18,6544,0.021865889212827987,False,False,False,True,False,10.74,True,2010-01-01 00:21:00,0,False,False,False,0,False,False,10.74,False,False,0,True,"['R9_DORMANT_SUDDEN_ACTIVITY', 'CARD_COMPROMISED']",True
7475331,2010-01-01 00:05:00,430,2860,200.0,Swipe Transaction,27092,Crown Point,IN,46307.0,4829,,2860,Mastercard,Debit,5346827663529174,10/2024,54,NO,2,37634,05/2004,2006,No,430,52,67,1967,5,Female,903 Hill Boulevard,41.42,-87.35,26168,53350,128676,685,5,0,4,21,7550,2.411921274601687,True,False,False,True,False,200.0,True,2010-01-01 00:05:00,0,False,False,False,0,False,False,200.0,False,False,0,True,"['R9_DORMANT_SUDDEN_ACTIVITY', 'HIGH_AMOUNT', 'HIGH_DTI', 'CARD_COMPROMISED']",True
7475328,2010-01-01 00:02:00,561,4575,14.57,Swipe Transaction,67570,Bettendorf,IA,52722.0,5311,,4575,Mastercard,Credit,5175842699412235,12/2024,438,YES,1,9100,09/2005,2015,No,561,48,67,1971,6,Male,604 Pine Street,40.8,-91.12,18076,36853,112139,834,5,0,4,20,7062,3.042873036116463,False,False,False,True,False,14.57,True,2010-01-01 00:02:00,0,False,False,False,0,False,False,14.57,False,False,0,True,"['R9_DORMANT_SUDDEN_ACTIVITY', 'HIGH_DTI', 'CARD_COMPROMISED']",True
7475332,2010-01-01 00:06:00,848,3915,46.41,Swipe Transaction,13051,Harwood,MD,20776.0,5813,,3915,Visa,Debit,4354185735186651,01/2020,120,YES,1,19113,07/2009,2014,No,848,51,69,1968,5,Male,166 River Drive,38.86,-76.6,33529,68362,96182,711,2,0,4,16,5663,1.4069512302156169,False,False,False,True,False,46.41,True,2010-01-01 00:06:00,0,False,False,False,0,False,False,46.41,False,False,0,True,"['R9_DORMANT_SUDDEN_ACTIVITY', 'HIGH_DTI', 'CARD_COMPROMISED']",True
7475329,2010-01-01 00:02:00,1129,102,80.0,Swipe Transaction,27092,Vista,CA,92084.0,4829,,102,Mastercard,Debit,5874992802287595,05/2020,256,YES,1,14802,01/2006,2008,No,1129,49,65,1970,4,Male,2379 Forest Lane,33.18,-117.29,16894,34449,36540,686,3,0,4,19,6940,1.060698423756858,False,False,False,True,False,80.0,True,2010-01-01 00:02:00,0,False,False,False,0,False,False,80.0,False,False,0,True,"['R9_DORMANT_SUDDEN_ACTIVITY', 'HIGH_DTI', 'CARD_COMPROMISED']",True
7475327,2010-01-01 00:01:00,1556,2972,-77.0,Swipe Transaction,59935,Beulah,ND,58523.0,5499,,2972,Mastercard,Debit (Prepaid),5497590243197280,07/2022,306,YES,2,55,05/2008,2008,No,1556,30,67,1989,7,Female,594 Mountain View Street,46.8,-100.76,23679,48277,110153,740,4,0,4,17,6089,2.281686931665182,False,False,False,True,False,77.0,True,2010-01-01 00:01:00,0,False,False,False,0,False,False,77.0,False,False,0,True,"['R9_DORMANT_SUDDEN_ACTIVITY', 'HIGH_DTI', 'CARD_COMPROMISED']",True
7475334,2010-01-01 00:09:00,1556,2972,77.0,Swipe Transaction,59935,Beulah,ND,58523.0,5499,,2972,Mastercard,Debit (Prepaid),5497590243197280,07/2022,306,YES,2,55,05/2008,2008,No,1556,30,67,1989,7,Female,594 Mountain View Street,46.8,-100.76,23679,48277,110153,740,4,0,4,17,6089,2.281686931665182,False,False,False,True,False,77.0,True,2010-01-01 00:09:00,1,False,False,False,1,False,False,77.0,False,False,1,False,"['HIGH_DTI', 'CARD_COMPROMISED']",True
7475335,2010-01-01 00:14:00,1684,2140,26.46,Online Transaction,39021,ONLINE,,,4784,,2140,Mastercard,Debit (Prepaid),5955075527372953,05/2021,513,YES,1,46,03/2007,2012,No,1684,56,65,1963,11,Male,27019 Madison Lane,36.34,-83.28,13668,27861,108313,782,5,0,4,18,6516,3.8876206884175013,False,False,False,True,False,26.46,True,2010-01-01 00:14:00,0,False,False,False,0,False,False,26.46,False,False,0,True,"['R9_DORMANT_SUDDEN_ACTIVITY', 'HIGH_DTI', 'CARD_COMPROMISED']",True
7475333,2010-01-01 00:07:00,1807,165,4.81,Swipe Transaction,20519,Bronx,NY,10464.0,5942,,165,Mastercard,Debit (Prepaid),5207231566469664,03/2014,198,YES,1,89,01/2008,2015,No,1807,47,65,1972,12,Female,14780 Plum Lane,40.84,-73.87,25537,52065,98613,828,5,0,4,17,6210,1.8940363007778738,False,False,False,True,False,4.81,True,2010-01-01 00:07:00,0,False,False,False,0,False,False,4.81,False,False,0,True,"['R9_DORMANT_SUDDEN_ACTIVITY', 'HIGH_DTI', 'CARD_COMPROMISED']",True
